"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine";"sep";"dec"
"south east";1;2018;0.7177829428125;0.9576905817;0.96574067817575;0.974004669064294;0.979281298824808;"MMR";";";"."
"south east";1;2019;0.7226836778625;0.95704392375;0.968084203408015;0.97154199943975;0.977674979887369;"MMR";";";"."
"south east";2;2005;0;0.772953356409195;0.772953356409195;0.84336059384964;0.851611367934474;"MMR";";";"."
"south east";2;2006;0;0.776813318621911;0.776813318621911;0.841483555147648;0.854203966813523;"MMR";";";"."
"south east";2;2007;0;0.797478325239712;0.797478325239712;0.845681371429696;0.852303077196853;"MMR";";";"."
"south east";2;2008;0;0.818833124132447;0.818833124132447;0.868155140981913;0.85655423375253;"MMR";";";"."
"south east";2;2009;0;0.785860771401693;0.785860771401693;0.891379078821635;0.879313570117786;"MMR";";";"."
"south east";2;2010;0;0.841916812828865;0.841916812828865;0.855520728008089;0.902832606912746;"MMR";";";"."
"south east";2;2011;0;0.860958065870778;0.860958065870778;0.909410745233969;0.866200640341515;"MMR";";";"."
"south east";2;2012;0;0.868528656971771;0.868528656971771;0.918907841140529;0.917447430719955;"MMR";";";"."
"south east";2;2013;0;0.868122308354866;0.868122308354866;0.921311140826237;0.924733333333333;"MMR";";";"."
"south east";2;2014;0;0.858208778173191;0.858208778173191;0.920073606729758;0.927073315523894;"MMR";";";"."
"south east";2;2015;0;0.867309468822171;0.867309468822171;0.913662186152676;0.923590786842287;"MMR";";";"."
"south east";2;2016;0;0.864902501949961;0.864902501949961;0.920356589147287;0.919101236217842;"MMR";";";"."
"south east";2;2017;0;0.869193443782796;0.869193443782796;0.915389398115505;0.92463580934898;"MMR";";";"."
"south east";2;2018;0;0.876846020259677;0.876846020259677;0.922046185879235;0.92057536852116;"MMR";";";"."
"south east";2;2019;0;0.878968155491143;0.878968155491143;0.930158797236683;0.927181550013408;"MMR";";";"."
"south west";1;2005;0.69825;0.9025;0.923605270927436;0.94366925682432;0.953539000690278;"MMR";";";"."
